EFFECTIVE,ACTION,,,,,,
PRIORITY,,,,,,,
DATE & TIME,,,,,,,
TEAM,,,,,,,
ADD PLAYER,CURRENT PLAYER,CURRENT PLAYER ACTION,COMMENT,,,,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,07/29/20 12:28 pm ET,Mattingly's Sideburns,German Marquez SP | COL,Mike Foltynewicz SP | ATL,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,07/30/20 11:09 pm ET,Aces and Eighth Hitters,Miguel Cabrera DH | DET,Howie Kendrick 1B | WAS ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,07/31/20 11:45 pm ET,Up a Creek w/o a Trout,Dansby Swanson SS | ATL ,Adalberto Mondesi SS | KC,Drop,First choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,08/01/20 07:39 am ET,Danimal,Joe Jimenez RP | DET,Jose Leclerc RP | TEX ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,08/01/20 01:21 pm ET,Swole Daddy,Drew Pomeranz RP | SD ,Sean Doolittle RP | WAS,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,08/01/20 05:58 pm ET,BK Cyclones,Michael Wacha SP | NYM ,Marcus Stroman SP | NYM ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,2,07/31/20 09:34 pm ET,Mattingly's Sideburns,Alex Cobb SP | BAL,Mike Foltynewicz SP | ATL,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,2,07/31/20 11:45 pm ET,Up a Creek w/o a Trout,Kyle Lewis RF | SEA,Adalberto Mondesi SS | KC,Drop,Second choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,2,08/01/20 01:22 pm ET,Swole Daddy,Daniel Hudson RP | WAS,Sean Doolittle RP | WAS,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,2,08/01/20 10:18 pm ET,Danimal,Mike Yastrzemski LF | SF,Dylan Cease SP | CHW,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,3,07/31/20 09:37 pm ET,Mattingly's Sideburns,Alex Cobb SP | BAL,Eduardo Rodriguez SP | BOS ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,3,08/01/20 12:49 am ET,Up a Creek w/o a Trout,Kyle Lewis RF | SEA,Alex Wood SP | LAD ,Drop,First choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,3,08/01/20 11:41 am ET,Danimal,Teoscar Hernandez CF | TOR,Dylan Cease SP | CHW,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,3,08/01/20 01:23 pm ET,Swole Daddy,Joe Jimenez RP | DET,Sean Doolittle RP | WAS,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,4,07/27/20 09:00 am ET,Danimal,Yonny Chirinos SP | TB,Joe Musgrove SP | PIT,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,4,07/31/20 09:40 pm ET,Mattingly's Sideburns,Adam Wainwright SP | STL,Mike Foltynewicz SP | ATL,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,4,08/01/20 12:51 am ET,Up a Creek w/o a Trout,Mike Yastrzemski LF | SF,Alex Wood SP | LAD ,Drop,Second choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,4,08/01/20 01:29 pm ET,Swole Daddy,Anthony Bass RP | TOR,Sean Doolittle RP | WAS,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,5,07/29/20 12:30 pm ET,Mattingly's Sideburns,Adam Wainwright SP | STL,Eduardo Rodriguez SP | BOS ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,5,08/01/20 12:56 am ET,Up a Creek w/o a Trout,Zach Plesac SP | CLE,Alex Wood SP | LAD ,Drop,Third choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,5,08/01/20 11:43 am ET,Danimal,Dansby Swanson SS | ATL ,Dylan Cease SP | CHW,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,5,08/01/20 01:29 pm ET,Swole Daddy,Oliver Drake RP | TB,Sean Doolittle RP | WAS,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,6,07/31/20 09:44 pm ET,Mattingly's Sideburns,Adam Wainwright SP | STL,Oscar Mercado CF | CLE ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,6,08/01/20 12:59 am ET,Up a Creek w/o a Trout,Steven Matz SP | NYM,Alex Wood SP | LAD ,Drop,Fourth choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,6,08/01/20 11:43 am ET,Danimal,Dansby Swanson SS | ATL ,Jose Leclerc RP | TEX ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,6,08/01/20 01:34 pm ET,Swole Daddy,Daniel Hudson RP | WAS,Shogo Akiyama CF | CIN,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,7,07/31/20 09:45 pm ET,Mattingly's Sideburns,Mike Fiers SP | OAK ,Mike Foltynewicz SP | ATL,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,7,08/01/20 01:01 am ET,Up a Creek w/o a Trout,Chris Bassitt SP | OAK,Alex Wood SP | LAD ,Drop,Fifth choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,7,08/01/20 01:33 pm ET,Swole Daddy,Joe Jimenez RP | DET,Shogo Akiyama CF | CIN,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,7,08/01/20 03:24 pm ET,Danimal,Dansby Swanson SS | ATL ,Joe Musgrove SP | PIT,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,8,08/01/20 01:02 am ET,Up a Creek w/o a Trout,Matt Shoemaker SP | TOR ,Alex Wood SP | LAD ,Drop,Sixth choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,8,08/01/20 01:35 pm ET,Swole Daddy,Anthony Bass RP | TOR,Shogo Akiyama CF | CIN,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,8,08/01/20 09:20 pm ET,Mattingly's Sideburns,J.P. Crawford SS | SEA,Oscar Mercado CF | CLE ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,8,08/01/20 09:51 pm ET,Danimal,Zack Britton RP | NYY ,Corbin Burnes RP | MIL,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,9,08/01/20 01:03 am ET,Up a Creek w/o a Trout,Steven Matz SP | NYM,Amed Rosario SS | NYM,Drop,First choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,9,08/01/20 01:36 pm ET,Swole Daddy,Oliver Drake RP | TB,Shogo Akiyama CF | CIN,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,9,08/01/20 09:52 pm ET,Danimal,Zack Britton RP | NYY ,Jose Leclerc RP | TEX ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,9,08/02/20 12:59 am ET,Mattingly's Sideburns,David Peterson SP | NYM,Oscar Mercado CF | CLE ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,10,08/01/20 01:06 am ET,Up a Creek w/o a Trout,Dallas Keuchel SP | CHW,Amed Rosario SS | NYM,Drop,Second choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,10,08/01/20 01:42 pm ET,Swole Daddy,Josh Lindblom RP | MIL ,Caleb Smith SP | MIA,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,11,08/01/20 01:05 am ET,Up a Creek w/o a Trout,Chris Bassitt SP | OAK,Amed Rosario SS | NYM,Drop,Third choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,11,08/01/20 01:47 pm ET,Swole Daddy,Dylan Bundy SP | LAA,Luke Weaver SP | ARI ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,12,08/01/20 01:08 am ET,Up a Creek w/o a Trout,Matt Shoemaker SP | TOR ,Amed Rosario SS | NYM,Drop,Fourth choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,12,08/01/20 01:48 pm ET,Swole Daddy,Dallas Keuchel SP | CHW,Luke Weaver SP | ARI ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,13,08/01/20 01:08 am ET,Up a Creek w/o a Trout,Griffin Canning SP | LAA ,Amed Rosario SS | NYM,Drop,Fifth choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,13,08/01/20 01:49 pm ET,Swole Daddy,Zach Plesac SP | CLE,Luke Weaver SP | ARI ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,14,08/01/20 01:50 pm ET,Swole Daddy,Ryan McMahon 2B | COL,Robbie Ray SP | ARI,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,14,08/01/20 10:56 pm ET,Up a Creek w/o a Trout,Brandon Lowe 2B | TB ,Miguel Andujar DH | NYY,Drop,First choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,15,08/01/20 01:17 am ET,Up a Creek w/o a Trout,Nico Hoerner SS | CHC,Miguel Andujar DH | NYY,Drop,Second choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,15,08/01/20 01:51 pm ET,Swole Daddy,Tyler O'Neill LF | STL,Robbie Ray SP | ARI,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,16,08/01/20 01:52 pm ET,Swole Daddy,Mike Yastrzemski LF | SF,Robbie Ray SP | ARI,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,16,08/01/20 10:59 pm ET,Up a Creek w/o a Trout,J.P. Crawford SS | SEA,Miguel Andujar DH | NYY,Drop,Third choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,17,08/01/20 01:56 pm ET,Swole Daddy,Tyler O'Neill LF | STL,Tommy La Stella 2B | LAA ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,17,08/01/20 10:57 pm ET,Up a Creek w/o a Trout,Nick Madrigal 2B | CHW ,Miguel Andujar DH | NYY,Drop,Fourth choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,18,08/01/20 01:55 pm ET,Swole Daddy,Mike Yastrzemski LF | SF,Tommy La Stella 2B | LAA ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,18,08/01/20 10:02 pm ET,Up a Creek w/o a Trout,Joe Jimenez RP | DET,Hansel Robles RP | LAA ,Drop,First choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,19,08/01/20 11:34 pm ET,Up a Creek w/o a Trout,Zach Plesac SP | CLE,Hansel Robles RP | LAA ,Drop,Second choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,20,08/01/20 11:32 pm ET,Up a Creek w/o a Trout,Trevor Gott RP | SF,Hansel Robles RP | LAA ,Drop,Third choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,21,08/01/20 11:34 pm ET,Up a Creek w/o a Trout,James Karinchak RP | CLE,Hansel Robles RP | LAA ,Drop,Fourth choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,22,08/01/20 11:45 pm ET,Up a Creek w/o a Trout,Nick Burdi RP | PIT,Hansel Robles RP | LAA ,Drop,Fifth choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,23,08/01/20 11:36 pm ET,Up a Creek w/o a Trout,German Marquez SP | COL,Mitch Keller SP | PIT ,Drop,First choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,24,08/01/20 11:39 pm ET,Up a Creek w/o a Trout,Cristian Javier SP | HOU,Mitch Keller SP | PIT ,Drop,Second choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,25,08/01/20 11:40 pm ET,Up a Creek w/o a Trout,Garrett Richards SP | SD ,Mitch Keller SP | PIT ,Drop,Third choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,26,08/01/20 11:42 pm ET,Up a Creek w/o a Trout,Spencer Turnbull SP | DET,Mitch Keller SP | PIT ,Drop,Fourth choice
